district,language,families,service_points_serving_language,is_access_desert,example_points,sectors_covered
Renton School District,Azerbaijani,1,0,True,,"library, transit"
Renton School District,Bassa,1,0,True,,"library, transit"
Renton School District,Bosnian,1,0,True,,"library, transit"
Renton School District,Bulgarian,1,0,True,,"library, transit"
Renton School District,Catalan,1,0,True,,"library, transit"
Federal Way School District,Azerbaijani,1,0,True,,"library, transit"
Federal Way School District,Bangala,1,0,True,,"library, transit"
Federal Way School District,Chin,1,0,True,,"library, transit"
Kent School District,Sao,1,0,True,,"library, transit"
Kent School District,Krahn,1,0,True,,"library, transit"
Kent School District,Krio,1,0,True,,"library, transit"
Kent School District,Malay,1,0,True,,"library, transit"
Kent School District,Moldavian,1,0,True,,"library, transit"
Auburn School District,Mam,1,0,True,,"library, transit"
Auburn School District,"Nahuatl, Guerrero region",1,0,True,,"library, transit"
Auburn School District,Nuer,1,0,True,,"library, transit"
Auburn School District,Oromo,1,0,True,,"library, transit"
Renton School District,Maya-Quiche,1,0,True,,"library, transit"
Federal Way School District,Chinese-Taiwanese,1,0,True,,"library, transit"
Federal Way School District,Dutch,1,0,True,,"library, transit"
Federal Way School District,Herero,1,0,True,,"library, transit"
Federal Way School District,Ilokano,1,0,True,,"library, transit"
Kent School District,Kannada,1,0,True,,"library, transit"
Kent School District,Ga,1,0,True,,"library, transit"
Kent School District,Gujarati,1,0,True,,"library, transit"
Kent School District,Haitian Creole,1,0,True,,"library, transit"
Federal Way School District,Kru,1,0,True,,"library, transit"
Federal Way School District,Lao,1,0,True,,"library, transit"
Federal Way School District,Malay,1,0,True,,"library, transit"
Federal Way School District,Mandingo,1,0,True,,"library, transit"
Kent School District,Carolinian,1,0,True,,"library, transit"
Renton School District,Serbo-Croation,1,0,True,,"library, transit"
Renton School District,Slovenian,1,0,True,,"library, transit"
Highline School District,Tibetan,1,0,True,,"library, transit"
Highline School District,Turkish,1,0,True,,"library, transit"
Kent School District,Azerbaijani,1,0,True,,"library, transit"
Federal Way School District,Karen,1,0,True,,"library, transit"
Highline School District,Mien,1,0,True,,"library, transit"
Highline School District,Palau,1,0,True,,"library, transit"
Highline School District,Romanian,1,0,True,,"library, transit"
Federal Way School District,Pashai,1,0,True,,"library, transit"
Federal Way School District,Polish,1,0,True,,"library, transit"
Federal Way School District,Romanian,1,0,True,,"library, transit"
Federal Way School District,Soninke,1,0,True,,"library, transit"
Highline School District,"Greek, Modern",1,0,True,,"library, transit"
Highline School District,Ilokano,1,0,True,,"library, transit"
Highline School District,Karen,1,0,True,,"library, transit"
Tukwila School District,Bengali,1,0,True,,"library, transit"
Tukwila School District,Chinese-Taiwanese,1,0,True,,"library, transit"
Tukwila School District,Dinka,1,0,True,,"library, transit"
Auburn School District,German,1,0,True,,"library, transit"
Auburn School District,Hausa,1,0,True,,"library, transit"
Highline School District,Albanian,1,0,True,,"library, transit"
Highline School District,American Sign Language,1,0,True,,"library, transit"
Highline School District,Chin,1,0,True,,"library, transit"
Highline School District,Eritai,1,0,True,,"library, transit"
Federal Way School District,Moore,1,0,True,,"library, transit"
Tukwila School District,Romanian,1,0,True,,"library, transit"
Tukwila School District,Soninke,1,0,True,,"library, transit"
Federal Way School District,Tamil,1,0,True,,"library, transit"
Federal Way School District,Tedim,1,0,True,,"library, transit"
Auburn School District,Italian,1,0,True,,"library, transit"
Auburn School District,Kakwa,1,0,True,,"library, transit"
Auburn School District,Karen,1,0,True,,"library, transit"
Auburn School District,Krahn,1,0,True,,"library, transit"
Tukwila School District,Fallani,1,0,True,,"library, transit"
Tukwila School District,Haitian Creole,1,0,True,,"library, transit"
Tukwila School District,Hindi,1,1,False,Tukwila,"library, transit"
