language,families_south_king_county,kc_tier,kc_status,on_tier_map,tier_map_source,tier_map_vintage
Karenni,5,,NOT ON THE TIER MAP,False,https://cdn.kingcounty.gov/-/media/king-county/depts/executive-services/policies/documents/inf-14-2-aeo-appendix-c.pdf,"2016 Census data, current as of October 2018"
German,5,,NOT ON THE TIER MAP,False,https://cdn.kingcounty.gov/-/media/king-county/depts/executive-services/policies/documents/inf-14-2-aeo-appendix-c.pdf,"2016 Census data, current as of October 2018"
Tarasco,5,,NOT ON THE TIER MAP,False,https://cdn.kingcounty.gov/-/media/king-county/depts/executive-services/policies/documents/inf-14-2-aeo-appendix-c.pdf,"2016 Census data, current as of October 2018"
Fallani,5,,NOT ON THE TIER MAP,False,https://cdn.kingcounty.gov/-/media/king-county/depts/executive-services/policies/documents/inf-14-2-aeo-appendix-c.pdf,"2016 Census data, current as of October 2018"
Twi,5,,NOT ON THE TIER MAP,False,https://cdn.kingcounty.gov/-/media/king-county/depts/executive-services/policies/documents/inf-14-2-aeo-appendix-c.pdf,"2016 Census data, current as of October 2018"
Malay,4,,NOT ON THE TIER MAP,False,https://cdn.kingcounty.gov/-/media/king-county/depts/executive-services/policies/documents/inf-14-2-aeo-appendix-c.pdf,"2016 Census data, current as of October 2018"
Hausa,4,,NOT ON THE TIER MAP,False,https://cdn.kingcounty.gov/-/media/king-county/depts/executive-services/policies/documents/inf-14-2-aeo-appendix-c.pdf,"2016 Census data, current as of October 2018"
Italian,4,,NOT ON THE TIER MAP,False,https://cdn.kingcounty.gov/-/media/king-county/depts/executive-services/policies/documents/inf-14-2-aeo-appendix-c.pdf,"2016 Census data, current as of October 2018"
Igbo,4,,NOT ON THE TIER MAP,False,https://cdn.kingcounty.gov/-/media/king-county/depts/executive-services/policies/documents/inf-14-2-aeo-appendix-c.pdf,"2016 Census data, current as of October 2018"
Mandinka,4,,NOT ON THE TIER MAP,False,https://cdn.kingcounty.gov/-/media/king-county/depts/executive-services/policies/documents/inf-14-2-aeo-appendix-c.pdf,"2016 Census data, current as of October 2018"
Maya-Quiche,4,,NOT ON THE TIER MAP,False,https://cdn.kingcounty.gov/-/media/king-county/depts/executive-services/policies/documents/inf-14-2-aeo-appendix-c.pdf,"2016 Census data, current as of October 2018"
Mam,4,,NOT ON THE TIER MAP,False,https://cdn.kingcounty.gov/-/media/king-county/depts/executive-services/policies/documents/inf-14-2-aeo-appendix-c.pdf,"2016 Census data, current as of October 2018"
Marathi,4,,NOT ON THE TIER MAP,False,https://cdn.kingcounty.gov/-/media/king-county/depts/executive-services/policies/documents/inf-14-2-aeo-appendix-c.pdf,"2016 Census data, current as of October 2018"
Yap,4,,NOT ON THE TIER MAP,False,https://cdn.kingcounty.gov/-/media/king-county/depts/executive-services/policies/documents/inf-14-2-aeo-appendix-c.pdf,"2016 Census data, current as of October 2018"
