district,language,families,reading,best_written_tier,best_written_tier_local_only,best_oral_tier,agencies_at_tier3,verified_tier3,best_provider,providers_at_tier3,written_gap,oral_gap,gap_score,severity,families_no_written_anywhere,families_no_local_written,families_no_local_document
Renton School District,Soninke,20,conservative,0,0,0,0,0,City of Renton,,20.0,20.0,20.0,1.0,20,20,20
Renton School District,Tigrinya,41,conservative,2,2,2,2,0,Public Health Seattle and King County,Public Health Seattle and King County; Washington Healthplanfinder,24.6,8.2,19.7,0.48,0,0,41
Auburn School District,Kurdish,29,conservative,1,1,2,0,0,City of Auburn,,24.6,5.8,19.0,0.655,0,0,29
Federal Way School District,Haitian Creole,29,conservative,1,1,2,0,0,Public Health Seattle and King County,,24.6,5.8,19.0,0.655,0,0,29
Kent School District,Portuguese,39,conservative,2,2,2,2,0,Public Health Seattle and King County,Public Health Seattle and King County; Washington Healthplanfinder,23.4,7.8,18.7,0.479,0,0,39
Renton School District,Romanian,38,conservative,2,2,2,2,0,Public Health Seattle and King County,Public Health Seattle and King County; Washington Healthplanfinder,22.8,7.6,18.2,0.479,0,0,38
Highline School District,Portuguese,37,conservative,2,2,2,2,0,Public Health Seattle and King County,Public Health Seattle and King County; Washington Healthplanfinder,22.2,7.4,17.8,0.481,0,0,37
Federal Way School District,Punjabi,36,conservative,2,2,2,2,0,Public Health Seattle and King County,Public Health Seattle and King County; Washington Healthplanfinder,21.6,7.2,17.3,0.481,0,0,36
Auburn School District,Turkish,26,conservative,1,1,2,0,0,City of Auburn,,22.1,5.2,17.0,0.654,0,0,26
Kent School District,Swahili,35,conservative,2,2,2,1,0,Public Health Seattle and King County,Public Health Seattle and King County,21.0,7.0,16.8,0.48,0,0,35
Highline School District,Punjabi,35,conservative,2,2,2,2,0,Public Health Seattle and King County,Public Health Seattle and King County; Washington Healthplanfinder,21.0,7.0,16.8,0.48,0,0,35
Renton School District,Khmer,35,conservative,2,2,2,4,0,Public Health Seattle and King County,DSHS Basic Food (SNAP); Public Health Seattle and King County; Washington Healthplanfinder; WashingtonLawHelp,21.0,7.0,16.8,0.48,0,0,35
Renton School District,Oromo,35,conservative,2,2,2,2,0,Public Health Seattle and King County,Public Health Seattle and King County; Washington Healthplanfinder,21.0,7.0,16.8,0.48,0,0,35
Federal Way School District,Chinese-Mandarin,34,conservative,2,2,2,8,0,Public Health Seattle and King County,DSHS Basic Food (SNAP); International Community Health Services; King County Library System; Northwest Harvest; Public Health Seattle and King County; Sound Transit,20.4,6.8,16.3,0.479,0,0,34
Auburn School District,Lao,33,conservative,2,2,2,3,0,Public Health Seattle and King County,DSHS Basic Food (SNAP); Public Health Seattle and King County; Washington Healthplanfinder,19.8,6.6,15.8,0.479,0,0,33
Auburn School District,Samoan,33,conservative,2,2,2,1,0,Public Health Seattle and King County,Public Health Seattle and King County,19.8,6.6,15.8,0.479,0,0,33
