district,language,families,reading,best_written_tier,best_written_tier_local_only,best_oral_tier,agencies_at_tier3,verified_tier3,best_provider,providers_at_tier3,written_gap,oral_gap,gap_score,severity,families_no_written_anywhere,families_no_local_written,families_no_local_document
Renton School District,Wolof,9,optimistic,1,1,2,0,0,Public Health Seattle and King County,,7.6,1.8,5.9,0.656,0,0,9
Tukwila School District,Bosnian,9,optimistic,1,1,2,0,0,Public Health Seattle and King County,,7.6,1.8,5.9,0.656,0,0,9
Highline School District,Pashto,94,optimistic,3,3,2,4,0,Public Health Seattle and King County,DSHS Basic Food (SNAP); King County Library System; Public Health Seattle and King County; Washington Healthplanfinder,0.0,18.8,5.6,0.06,0,0,0
Auburn School District,Arabic,90,optimistic,3,3,2,5,0,Auburn School District,Auburn School District; King County Library System; Public Health Seattle and King County; Washington Healthplanfinder; WashingtonLawHelp,0.0,18.0,5.4,0.06,0,0,0
Auburn School District,Dinka,8,optimistic,1,1,2,0,0,City of Auburn,,6.8,1.6,5.2,0.65,0,0,8
Kent School District,Chinese-Mandarin,85,optimistic,3,3,2,8,0,Public Health Seattle and King County,DSHS Basic Food (SNAP); International Community Health Services; King County Library System; Northwest Harvest; Public Health Seattle and King County; Sound Transit,0.0,17.0,5.1,0.06,0,0,0
Kent School District,Karenni,5,optimistic,0,0,0,0,0,City of Auburn,,5.0,5.0,5.0,1.0,5,5,5
Auburn School District,Mandingo,5,optimistic,0,0,0,0,0,City of Auburn,,5.0,5.0,5.0,1.0,5,5,5
Highline School District,Cham,5,optimistic,0,0,0,0,0,City of Burien,,5.0,5.0,5.0,1.0,5,5,5
Kent School District,Hmong,7,optimistic,1,1,2,0,0,City of Kent,,6.0,1.4,4.6,0.657,0,0,7
Auburn School District,Ilokano,7,optimistic,1,1,2,0,0,City of Auburn,,6.0,1.4,4.6,0.657,0,0,7
Kent School District,Indonesian,7,optimistic,1,1,2,0,0,City of Kent,,6.0,1.4,4.6,0.657,0,0,7
Kent School District,Malayalam,7,optimistic,1,1,2,0,0,City of Kent,,6.0,1.4,4.6,0.657,0,0,7
Auburn School District,Urdu,7,optimistic,1,1,2,0,0,City of Auburn,,6.0,1.4,4.6,0.657,0,0,7
Auburn School District,Somali,71,optimistic,3,3,2,5,0,Auburn School District,Auburn School District; DSHS Basic Food (SNAP); King County Library System; Public Health Seattle and King County; Washington Healthplanfinder,0.0,14.2,4.3,0.061,0,0,0
Federal Way School District,Arabic,71,optimistic,3,3,2,5,0,Federal Way School District,Federal Way School District; King County Library System; Public Health Seattle and King County; Washington Healthplanfinder; WashingtonLawHelp,0.0,14.2,4.3,0.061,0,0,0
Renton School District,Arabic,72,optimistic,3,3,2,4,0,Public Health Seattle and King County,King County Library System; Public Health Seattle and King County; Washington Healthplanfinder; WashingtonLawHelp,0.0,14.4,4.3,0.06,0,0,0
Kent School District,French,71,optimistic,3,3,2,3,0,Public Health Seattle and King County,MultiCare Health System; Public Health Seattle and King County; Washington Healthplanfinder,0.0,14.2,4.3,0.061,0,0,0
Federal Way School District,Farsi,68,optimistic,3,1,2,3,0,DSHS Basic Food (SNAP),DSHS Basic Food (SNAP); Washington Healthplanfinder; WashingtonLawHelp,0.0,13.6,4.1,0.06,0,0,68
Highline School District,French,67,optimistic,3,3,2,3,0,Public Health Seattle and King County,MultiCare Health System; Public Health Seattle and King County; Washington Healthplanfinder,0.0,13.4,4.0,0.06,0,0,0
Federal Way School District,French,67,optimistic,3,3,2,3,0,Public Health Seattle and King County,MultiCare Health System; Public Health Seattle and King County; Washington Healthplanfinder,0.0,13.4,4.0,0.06,0,0,0
Tukwila School District,Pashto,67,optimistic,3,3,2,4,0,Public Health Seattle and King County,DSHS Basic Food (SNAP); King County Library System; Public Health Seattle and King County; Washington Healthplanfinder,0.0,13.4,4.0,0.06,0,0,0
Auburn School District,Fula,4,optimistic,0,0,0,0,0,City of Auburn,,4.0,4.0,4.0,1.0,4,4,4
Kent School District,Kikuyu,4,optimistic,0,0,0,0,0,City of Auburn,,4.0,4.0,4.0,1.0,4,4,4
Auburn School District,Maay Maay,4,optimistic,0,0,0,0,0,City of Auburn,,4.0,4.0,4.0,1.0,4,4,4
Auburn School District,Mien,4,optimistic,0,0,0,0,0,City of Auburn,,4.0,4.0,4.0,1.0,4,4,4
Kent School District,Yap,4,optimistic,0,0,0,0,0,City of Auburn,,4.0,4.0,4.0,1.0,4,4,4
Highline School District,Soninke,4,optimistic,0,0,0,0,0,City of Burien,,4.0,4.0,4.0,1.0,4,4,4
Federal Way School District,Kosraean,4,optimistic,0,0,0,0,0,City of Des Moines,,4.0,4.0,4.0,1.0,4,4,4
Renton School District,Amharic,67,optimistic,3,3,2,3,1,King County Library System,International Community Health Services; King County Library System; Washington Healthplanfinder,0.0,13.4,4.0,0.06,0,0,0
Kent School District,Dinka,6,optimistic,1,1,2,0,0,City of Kent,,5.1,1.2,3.9,0.65,0,0,6
Federal Way School District,Dinka,6,optimistic,1,1,2,0,0,Public Health Seattle and King County,,5.1,1.2,3.9,0.65,0,0,6
Federal Way School District,Mongolian,6,optimistic,1,1,2,0,0,Public Health Seattle and King County,,5.1,1.2,3.9,0.65,0,0,6
Renton School District,Albanian,6,optimistic,1,1,2,0,0,Public Health Seattle and King County,,5.1,1.2,3.9,0.65,0,0,6
Renton School District,Bengali,6,optimistic,1,1,2,0,0,Public Health Seattle and King County,,5.1,1.2,3.9,0.65,0,0,6
Renton School District,Hmong,6,optimistic,1,1,2,0,0,Public Health Seattle and King County,,5.1,1.2,3.9,0.65,0,0,6
Renton School District,Lingala,6,optimistic,1,1,2,0,0,Public Health Seattle and King County,,5.1,1.2,3.9,0.65,0,0,6
Renton School District,Luganda,6,optimistic,1,1,2,0,0,Public Health Seattle and King County,,5.1,1.2,3.9,0.65,0,0,6
Kent School District,Hindi,63,optimistic,3,1,2,1,0,Washington Healthplanfinder,Washington Healthplanfinder,0.0,12.6,3.8,0.06,0,0,63
Renton School District,Portuguese,64,optimistic,3,3,2,2,0,Public Health Seattle and King County,Public Health Seattle and King County; Washington Healthplanfinder,0.0,12.8,3.8,0.059,0,0,0
Renton School District,Tagalog,63,optimistic,3,3,2,4,0,King County Metro,King County Metro; Sound Transit; Washington Healthplanfinder; WashingtonLawHelp,0.0,12.6,3.8,0.06,0,0,0
Kent School District,Marshallese,62,optimistic,3,3,2,2,0,Public Health Seattle and King County,Public Health Seattle and King County; WashingtonLawHelp,0.0,12.4,3.7,0.06,0,0,0
Highline School District,Arabic,58,optimistic,3,3,2,4,0,Public Health Seattle and King County,King County Library System; Public Health Seattle and King County; Washington Healthplanfinder; WashingtonLawHelp,0.0,11.6,3.5,0.06,0,0,0
Tukwila School District,Arabic,59,optimistic,3,3,2,5,0,Tukwila School District,King County Library System; Public Health Seattle and King County; Tukwila School District; Washington Healthplanfinder; WashingtonLawHelp,0.0,11.8,3.5,0.059,0,0,0
Auburn School District,Tagalog,56,optimistic,3,3,2,4,0,King County Metro,King County Metro; Sound Transit; Washington Healthplanfinder; WashingtonLawHelp,0.0,11.2,3.4,0.061,0,0,0
Renton School District,Punjabi,56,optimistic,3,3,2,2,0,Public Health Seattle and King County,Public Health Seattle and King County; Washington Healthplanfinder,0.0,11.2,3.4,0.061,0,0,0
Auburn School District,Cebuano,5,optimistic,1,1,2,0,0,City of Auburn,,4.2,1.0,3.3,0.66,0,0,5
Kent School District,Chamorro,5,optimistic,1,1,2,0,0,City of Kent,,4.2,1.0,3.3,0.66,0,0,5
Highline School District,Bengali,5,optimistic,1,1,2,0,0,City of Burien,,4.2,1.0,3.3,0.66,0,0,5
Highline School District,Uzbek,5,optimistic,1,1,2,0,0,City of Burien,,4.2,1.0,3.3,0.66,0,0,5
Renton School District,Urdu,5,optimistic,1,1,2,0,0,Public Health Seattle and King County,,4.2,1.0,3.3,0.66,0,0,5
Highline School District,Tigrinya,54,optimistic,3,3,2,2,0,Public Health Seattle and King County,Public Health Seattle and King County; Washington Healthplanfinder,0.0,10.8,3.2,0.059,0,0,0
Tukwila School District,French,54,optimistic,3,3,2,4,0,Tukwila School District,MultiCare Health System; Public Health Seattle and King County; Tukwila School District; Washington Healthplanfinder,0.0,10.8,3.2,0.059,0,0,0
Federal Way School District,Korean,54,optimistic,3,3,2,6,0,Public Health Seattle and King County,DSHS Basic Food (SNAP); International Community Health Services; Public Health Seattle and King County; Sound Transit; Washington Healthplanfinder; WashingtonLawHelp,0.0,10.8,3.2,0.059,0,0,0
Renton School District,Farsi,52,optimistic,3,1,2,3,0,DSHS Basic Food (SNAP),DSHS Basic Food (SNAP); Washington Healthplanfinder; WashingtonLawHelp,0.0,10.4,3.1,0.06,0,0,52
Kent School District,Bangala,3,optimistic,0,0,0,0,0,City of Auburn,,3.0,3.0,3.0,1.0,3,3,3
Auburn School District,Chinese-Taiwanese,3,optimistic,0,0,0,0,0,City of Auburn,,3.0,3.0,3.0,1.0,3,3,3
Kent School District,Chuukese,50,optimistic,3,3,2,2,0,Public Health Seattle and King County,DSHS Basic Food (SNAP); Public Health Seattle and King County,0.0,10.0,3.0,0.06,0,0,0
Auburn School District,Moore,3,optimistic,0,0,0,0,0,City of Auburn,,3.0,3.0,3.0,1.0,3,3,3
Kent School District,Rohingya,3,optimistic,0,0,0,0,0,City of Auburn,,3.0,3.0,3.0,1.0,3,3,3
Kent School District,Soninke,3,optimistic,0,0,0,0,0,City of Auburn,,3.0,3.0,3.0,1.0,3,3,3
Highline School District,Maya-Quiche,3,optimistic,0,0,0,0,0,City of Burien,,3.0,3.0,3.0,1.0,3,3,3
Highline School District,Tarasco,3,optimistic,0,0,0,0,0,City of Burien,,3.0,3.0,3.0,1.0,3,3,3
Federal Way School District,Akateko,3,optimistic,0,0,0,0,0,City of Des Moines,,3.0,3.0,3.0,1.0,3,3,3
Federal Way School District,Kakwa,3,optimistic,0,0,0,0,0,City of Des Moines,,3.0,3.0,3.0,1.0,3,3,3
Federal Way School District,Rohingya,3,optimistic,0,0,0,0,0,City of Des Moines,,3.0,3.0,3.0,1.0,3,3,3
Renton School District,Chin,3,optimistic,0,0,0,0,0,City of Renton,,3.0,3.0,3.0,1.0,3,3,3
Renton School District,Chinese-Taiwanese,3,optimistic,0,0,0,0,0,City of Renton,,3.0,3.0,3.0,1.0,3,3,3
Tukwila School District,Fula,3,optimistic,0,0,0,0,0,City of Tukwila,,3.0,3.0,3.0,1.0,3,3,3
Auburn School District,Khmer,49,optimistic,3,3,2,4,0,Public Health Seattle and King County,DSHS Basic Food (SNAP); Public Health Seattle and King County; Washington Healthplanfinder; WashingtonLawHelp,0.0,9.8,2.9,0.059,0,0,0
Highline School District,Farsi,46,optimistic,3,1,2,3,0,DSHS Basic Food (SNAP),DSHS Basic Food (SNAP); Washington Healthplanfinder; WashingtonLawHelp,0.0,9.2,2.8,0.061,0,0,46
Highline School District,Khmer,45,optimistic,3,3,2,4,0,Public Health Seattle and King County,DSHS Basic Food (SNAP); Public Health Seattle and King County; Washington Healthplanfinder; WashingtonLawHelp,0.0,9.0,2.7,0.06,0,0,0
Auburn School District,Haitian Creole,4,optimistic,1,1,2,0,0,City of Auburn,,3.4,0.8,2.6,0.65,0,0,4
Auburn School District,Kinyarwanda,4,optimistic,1,1,2,0,0,City of Auburn,,3.4,0.8,2.6,0.65,0,0,4
Kent School District,Nuer,4,optimistic,1,1,2,0,0,City of Kent,,3.4,0.8,2.6,0.65,0,0,4
Kent School District,Samoan,43,optimistic,3,3,2,1,0,Public Health Seattle and King County,Public Health Seattle and King County,0.0,8.6,2.6,0.06,0,0,0
Highline School District,Bosnian,4,optimistic,1,1,2,0,0,City of Burien,,3.4,0.8,2.6,0.65,0,0,4
Highline School District,Gujarati,4,optimistic,1,1,2,0,0,City of Burien,,3.4,0.8,2.6,0.65,0,0,4
Highline School District,Kinyarwanda,4,optimistic,1,1,2,0,0,City of Burien,,3.4,0.8,2.6,0.65,0,0,4
Highline School District,Urdu,4,optimistic,1,1,2,0,0,City of Burien,,3.4,0.8,2.6,0.65,0,0,4
Federal Way School District,Urdu,4,optimistic,1,1,2,0,0,Public Health Seattle and King County,,3.4,0.8,2.6,0.65,0,0,4
Renton School District,Cebuano,4,optimistic,1,1,2,0,0,Public Health Seattle and King County,,3.4,0.8,2.6,0.65,0,0,4
Renton School District,Marathi,4,optimistic,1,1,2,0,0,Public Health Seattle and King County,,3.4,0.8,2.6,0.65,0,0,4
Tukwila School District,Kinyarwanda,4,optimistic,1,1,2,0,0,Public Health Seattle and King County,,3.4,0.8,2.6,0.65,0,0,4
Tukwila School District,Turkish,4,optimistic,1,1,2,0,0,Public Health Seattle and King County,,3.4,0.8,2.6,0.65,0,0,4
Renton School District,Tigrinya,41,optimistic,3,3,2,2,0,Public Health Seattle and King County,Public Health Seattle and King County; Washington Healthplanfinder,0.0,8.2,2.5,0.061,0,0,0
Kent School District,Portuguese,39,optimistic,3,3,2,2,0,Public Health Seattle and King County,Public Health Seattle and King County; Washington Healthplanfinder,0.0,7.8,2.3,0.059,0,0,0
Renton School District,Romanian,38,optimistic,3,3,2,2,0,Public Health Seattle and King County,Public Health Seattle and King County; Washington Healthplanfinder,0.0,7.6,2.3,0.061,0,0,0
Highline School District,Portuguese,37,optimistic,3,3,2,2,0,Public Health Seattle and King County,Public Health Seattle and King County; Washington Healthplanfinder,0.0,7.4,2.2,0.059,0,0,0
Federal Way School District,Punjabi,36,optimistic,3,3,2,2,0,Public Health Seattle and King County,Public Health Seattle and King County; Washington Healthplanfinder,0.0,7.2,2.2,0.061,0,0,0
Kent School District,Swahili,35,optimistic,3,3,2,1,0,Public Health Seattle and King County,Public Health Seattle and King County,0.0,7.0,2.1,0.06,0,0,0
Highline School District,Punjabi,35,optimistic,3,3,2,2,0,Public Health Seattle and King County,Public Health Seattle and King County; Washington Healthplanfinder,0.0,7.0,2.1,0.06,0,0,0
Renton School District,Khmer,35,optimistic,3,3,2,4,0,Public Health Seattle and King County,DSHS Basic Food (SNAP); Public Health Seattle and King County; Washington Healthplanfinder; WashingtonLawHelp,0.0,7.0,2.1,0.06,0,0,0
Renton School District,Oromo,35,optimistic,3,3,2,2,0,Public Health Seattle and King County,Public Health Seattle and King County; Washington Healthplanfinder,0.0,7.0,2.1,0.06,0,0,0
Kent School District,Aguacateco,2,optimistic,0,0,0,0,0,City of Auburn,,2.0,2.0,2.0,1.0,2,2,2
Kent School District,Bulgarian,3,optimistic,1,1,2,0,0,City of Kent,,2.5,0.6,2.0,0.667,0,0,3
Kent School District,Cham,2,optimistic,0,0,0,0,0,City of Auburn,,2.0,2.0,2.0,1.0,2,2,2
Auburn School District,Chin,2,optimistic,0,0,0,0,0,City of Auburn,,2.0,2.0,2.0,1.0,2,2,2
Kent School District,Chinese-Taiwanese,2,optimistic,0,0,0,0,0,City of Auburn,,2.0,2.0,2.0,1.0,2,2,2
Kent School District,Eritai,2,optimistic,0,0,0,0,0,City of Auburn,,2.0,2.0,2.0,1.0,2,2,2
Kent School District,Fallani,2,optimistic,0,0,0,0,0,City of Auburn,,2.0,2.0,2.0,1.0,2,2,2
Kent School District,Hausa,3,optimistic,1,1,2,0,0,City of Kent,,2.5,0.6,2.0,0.667,0,0,3
Kent School District,Kmhmu,2,optimistic,0,0,0,0,0,City of Auburn,,2.0,2.0,2.0,1.0,2,2,2
Auburn School District,Lao,33,optimistic,3,3,2,3,0,Public Health Seattle and King County,DSHS Basic Food (SNAP); Public Health Seattle and King County; Washington Healthplanfinder,0.0,6.6,2.0,0.061,0,0,0
Kent School District,Mandingo,2,optimistic,0,0,0,0,0,City of Auburn,,2.0,2.0,2.0,1.0,2,2,2
Auburn School District,Mandinka,2,optimistic,0,0,0,0,0,City of Auburn,,2.0,2.0,2.0,1.0,2,2,2
Kent School District,Pere,2,optimistic,0,0,0,0,0,City of Auburn,,2.0,2.0,2.0,1.0,2,2,2
Auburn School District,Samoan,33,optimistic,3,3,2,1,0,Public Health Seattle and King County,Public Health Seattle and King County,0.0,6.6,2.0,0.061,0,0,0
Kent School District,Serbo-Croation,2,optimistic,0,0,0,0,0,City of Auburn,,2.0,2.0,2.0,1.0,2,2,2
Kent School District,Sinhalese,2,optimistic,0,0,0,0,0,City of Auburn,,2.0,2.0,2.0,1.0,2,2,2
Kent School District,Sotho,2,optimistic,0,0,0,0,0,City of Auburn,,2.0,2.0,2.0,1.0,2,2,2
Kent School District,Tajiki,2,optimistic,0,0,0,0,0,City of Auburn,,2.0,2.0,2.0,1.0,2,2,2
Kent School District,Tarasco,2,optimistic,0,0,0,0,0,City of Auburn,,2.0,2.0,2.0,1.0,2,2,2
Highline School District,Fallani,2,optimistic,0,0,0,0,0,City of Burien,,2.0,2.0,2.0,1.0,2,2,2
Highline School District,Fula,2,optimistic,0,0,0,0,0,City of Burien,,2.0,2.0,2.0,1.0,2,2,2
Highline School District,Mam,3,optimistic,1,1,2,0,0,City of Burien,,2.5,0.6,2.0,0.667,0,0,3
Federal Way School District,Chinese-Mandarin,34,optimistic,3,3,2,8,0,Public Health Seattle and King County,DSHS Basic Food (SNAP); International Community Health Services; King County Library System; Northwest Harvest; Public Health Seattle and King County; Sound Transit,0.0,6.8,2.0,0.059,0,0,0
Federal Way School District,Kikuyu,2,optimistic,0,0,0,0,0,City of Des Moines,,2.0,2.0,2.0,1.0,2,2,2
Federal Way School District,Taishanese,2,optimistic,0,0,0,0,0,City of Des Moines,,2.0,2.0,2.0,1.0,2,2,2
Renton School District,Armenian,3,optimistic,1,1,2,0,0,Public Health Seattle and King County,,2.5,0.6,2.0,0.667,0,0,3
Renton School District,Chinese-Fukienese,2,optimistic,0,0,0,0,0,City of Renton,,2.0,2.0,2.0,1.0,2,2,2
Renton School District,Dinka,3,optimistic,1,1,2,0,0,Public Health Seattle and King County,,2.5,0.6,2.0,0.667,0,0,3
Renton School District,Egyptian-Arabic,2,optimistic,0,0,0,0,0,City of Renton,,2.0,2.0,2.0,1.0,2,2,2
Renton School District,Fula,2,optimistic,0,0,0,0,0,City of Renton,,2.0,2.0,2.0,1.0,2,2,2
Renton School District,"Greek, Modern",2,optimistic,0,0,0,0,0,City of Renton,,2.0,2.0,2.0,1.0,2,2,2
Renton School District,Hawaiian,3,optimistic,1,1,2,0,0,Public Health Seattle and King County,,2.5,0.6,2.0,0.667,0,0,3
Renton School District,Kongo,2,optimistic,0,0,0,0,0,City of Renton,,2.0,2.0,2.0,1.0,2,2,2
Renton School District,Kurdish,2,optimistic,0,0,0,0,0,City of Renton,,2.0,2.0,2.0,1.0,2,2,2
Renton School District,Mandinka,2,optimistic,0,0,0,0,0,City of Renton,,2.0,2.0,2.0,1.0,2,2,2
Renton School District,Marquesan,2,optimistic,0,0,0,0,0,City of Renton,,2.0,2.0,2.0,1.0,2,2,2
Renton School District,Mixteco,2,optimistic,0,0,0,0,0,City of Renton,,2.0,2.0,2.0,1.0,2,2,2
Renton School District,Mongolian,3,optimistic,1,1,2,0,0,Public Health Seattle and King County,,2.5,0.6,2.0,0.667,0,0,3
Renton School District,Purepecha,2,optimistic,0,0,0,0,0,City of Renton,,2.0,2.0,2.0,1.0,2,2,2
Tukwila School District,Cham,2,optimistic,0,0,0,0,0,City of Tukwila,,2.0,2.0,2.0,1.0,2,2,2
Tukwila School District,Ilokano,2,optimistic,0,0,0,0,0,City of Tukwila,,2.0,2.0,2.0,1.0,2,2,2
Tukwila School District,Kirundi,2,optimistic,0,0,0,0,0,City of Tukwila,,2.0,2.0,2.0,1.0,2,2,2
Tukwila School District,Uzbek,3,optimistic,1,1,2,0,0,Public Health Seattle and King County,,2.5,0.6,2.0,0.667,0,0,3
Auburn School District,Korean,32,optimistic,3,3,2,6,0,Public Health Seattle and King County,DSHS Basic Food (SNAP); International Community Health Services; Public Health Seattle and King County; Sound Transit; Washington Healthplanfinder; WashingtonLawHelp,0.0,6.4,1.9,0.059,0,0,0
Highline School District,Russian,32,optimistic,3,3,2,9,0,Public Health Seattle and King County,DSHS Basic Food (SNAP); International Community Health Services; King County Library System; Northwest Harvest; Public Health Seattle and King County; Sound Transit,0.0,6.4,1.9,0.059,0,0,0
Tukwila School District,Amharic,30,optimistic,3,3,2,4,1,Tukwila School District,International Community Health Services; King County Library System; Tukwila School District; Washington Healthplanfinder,0.0,6.0,1.8,0.06,0,0,0
Kent School District,Romanian,29,optimistic,3,3,2,2,0,Public Health Seattle and King County,Public Health Seattle and King County; Washington Healthplanfinder,0.0,5.8,1.7,0.059,0,0,0
Auburn School District,Swahili,28,optimistic,3,3,2,1,0,Public Health Seattle and King County,Public Health Seattle and King County,0.0,5.6,1.7,0.061,0,0,0
Auburn School District,Tigrinya,28,optimistic,3,3,2,2,0,Public Health Seattle and King County,Public Health Seattle and King County; Washington Healthplanfinder,0.0,5.6,1.7,0.061,0,0,0
Highline School District,Ukrainian,28,optimistic,3,3,2,3,0,Public Health Seattle and King County,King County Library System; Public Health Seattle and King County; Washington Healthplanfinder,0.0,5.6,1.7,0.061,0,0,0
Federal Way School District,Amharic,29,optimistic,3,3,2,3,1,King County Library System,International Community Health Services; King County Library System; Washington Healthplanfinder,0.0,5.8,1.7,0.059,0,0,0
Federal Way School District,Portuguese,28,optimistic,3,3,2,2,0,Public Health Seattle and King County,Public Health Seattle and King County; Washington Healthplanfinder,0.0,5.6,1.7,0.061,0,0,0
Renton School District,Hindi,29,optimistic,3,1,2,1,0,Washington Healthplanfinder,Washington Healthplanfinder,0.0,5.8,1.7,0.059,0,0,29
Renton School District,Korean,28,optimistic,3,3,2,6,0,Public Health Seattle and King County,DSHS Basic Food (SNAP); International Community Health Services; Public Health Seattle and King County; Sound Transit; Washington Healthplanfinder; WashingtonLawHelp,0.0,5.6,1.7,0.061,0,0,0
Tukwila School District,Nepali,29,optimistic,3,3,2,1,0,City of Tukwila,City of Tukwila,0.0,5.8,1.7,0.059,0,0,0
Auburn School District,Burmese,27,optimistic,3,3,2,1,0,Public Health Seattle and King County,Public Health Seattle and King County,0.0,5.4,1.6,0.059,0,0,0
Highline School District,Tagalog,26,optimistic,3,3,2,4,0,King County Metro,King County Metro; Sound Transit; Washington Healthplanfinder; WashingtonLawHelp,0.0,5.2,1.6,0.062,0,0,0
Federal Way School District,Chinese-Cantonese,27,optimistic,3,3,2,5,0,King County Library System,DSHS Basic Food (SNAP); King County Library System; Sound Transit; Washington Healthplanfinder; WashingtonLawHelp,0.0,5.4,1.6,0.059,0,0,0
Auburn School District,French,25,optimistic,3,3,2,3,0,Public Health Seattle and King County,MultiCare Health System; Public Health Seattle and King County; Washington Healthplanfinder,0.0,5.0,1.5,0.06,0,0,0
Kent School District,Tigrinya,25,optimistic,3,3,2,2,0,Public Health Seattle and King County,Public Health Seattle and King County; Washington Healthplanfinder,0.0,5.0,1.5,0.06,0,0,0
Federal Way School District,Swahili,23,optimistic,3,3,2,1,0,Public Health Seattle and King County,Public Health Seattle and King County,0.0,4.6,1.4,0.061,0,0,0
Tukwila School District,Tagalog,24,optimistic,3,3,2,4,0,King County Metro,King County Metro; Sound Transit; Washington Healthplanfinder; WashingtonLawHelp,0.0,4.8,1.4,0.058,0,0,0
Kent School District,Albanian,2,optimistic,1,1,2,0,0,City of Kent,,1.7,0.4,1.3,0.65,0,0,2
Kent School District,Bosnian,2,optimistic,1,1,2,0,0,City of Kent,,1.7,0.4,1.3,0.65,0,0,2
Kent School District,Dutch,2,optimistic,1,1,2,0,0,City of Kent,,1.7,0.4,1.3,0.65,0,0,2
Auburn School District,Ewe,2,optimistic,1,1,2,0,0,City of Auburn,,1.7,0.4,1.3,0.65,0,0,2
Auburn School District,Hawaiian,2,optimistic,1,1,2,0,0,City of Auburn,,1.7,0.4,1.3,0.65,0,0,2
Kent School District,Hungarian,2,optimistic,1,1,2,0,0,City of Kent,,1.7,0.4,1.3,0.65,0,0,2
Auburn School District,Igbo,2,optimistic,1,1,2,0,0,City of Auburn,,1.7,0.4,1.3,0.65,0,0,2
Kent School District,Igbo,2,optimistic,1,1,2,0,0,City of Kent,,1.7,0.4,1.3,0.65,0,0,2
Kent School District,Italian,2,optimistic,1,1,2,0,0,City of Kent,,1.7,0.4,1.3,0.65,0,0,2
Kent School District,Korean,22,optimistic,3,3,2,6,0,Public Health Seattle and King County,DSHS Basic Food (SNAP); International Community Health Services; Public Health Seattle and King County; Sound Transit; Washington Healthplanfinder; WashingtonLawHelp,0.0,4.4,1.3,0.059,0,0,0
Kent School District,Latvian,2,optimistic,1,1,2,0,0,City of Kent,,1.7,0.4,1.3,0.65,0,0,2
Auburn School District,Luganda,2,optimistic,1,1,2,0,0,City of Auburn,,1.7,0.4,1.3,0.65,0,0,2
Auburn School District,Malayalam,2,optimistic,1,1,2,0,0,City of Auburn,,1.7,0.4,1.3,0.65,0,0,2
Auburn School District,Mongolian,2,optimistic,1,1,2,0,0,City of Auburn,,1.7,0.4,1.3,0.65,0,0,2
Auburn School District,Polish,2,optimistic,1,1,2,0,0,City of Auburn,,1.7,0.4,1.3,0.65,0,0,2
Kent School District,Twi,2,optimistic,1,1,2,0,0,City of Kent,,1.7,0.4,1.3,0.65,0,0,2
Auburn School District,Wolof,2,optimistic,1,1,2,0,0,City of Auburn,,1.7,0.4,1.3,0.65,0,0,2
Auburn School District,Yoruba,2,optimistic,1,1,2,0,0,City of Auburn,,1.7,0.4,1.3,0.65,0,0,2
Highline School District,Bambara,2,optimistic,1,1,2,0,0,City of Burien,,1.7,0.4,1.3,0.65,0,0,2
Federal Way School District,Bengali,2,optimistic,1,1,2,0,0,Public Health Seattle and King County,,1.7,0.4,1.3,0.65,0,0,2
Federal Way School District,Bulgarian,2,optimistic,1,1,2,0,0,Public Health Seattle and King County,,1.7,0.4,1.3,0.65,0,0,2
Federal Way School District,Cebuano,2,optimistic,1,1,2,0,0,Public Health Seattle and King County,,1.7,0.4,1.3,0.65,0,0,2
Federal Way School District,Chamorro,2,optimistic,1,1,2,0,0,Public Health Seattle and King County,,1.7,0.4,1.3,0.65,0,0,2
Federal Way School District,Chuukese,22,optimistic,3,3,2,2,0,Public Health Seattle and King County,DSHS Basic Food (SNAP); Public Health Seattle and King County,0.0,4.4,1.3,0.059,0,0,0
Federal Way School District,Gujarati,2,optimistic,1,1,2,0,0,Public Health Seattle and King County,,1.7,0.4,1.3,0.65,0,0,2
Federal Way School District,Indonesian,2,optimistic,1,1,2,0,0,Public Health Seattle and King County,,1.7,0.4,1.3,0.65,0,0,2
Federal Way School District,Kinyarwanda,2,optimistic,1,1,2,0,0,Public Health Seattle and King County,,1.7,0.4,1.3,0.65,0,0,2
Federal Way School District,Kurdish,2,optimistic,1,0,2,0,0,City of Des Moines,,1.7,0.4,1.3,0.65,0,2,2
Federal Way School District,Malayalam,2,optimistic,1,1,2,0,0,Public Health Seattle and King County,,1.7,0.4,1.3,0.65,0,0,2
Federal Way School District,Marshallese,21,optimistic,3,3,2,2,0,Public Health Seattle and King County,Public Health Seattle and King County; WashingtonLawHelp,0.0,4.2,1.3,0.062,0,0,0
Federal Way School District,Nepali,2,optimistic,1,1,2,0,0,Public Health Seattle and King County,,1.7,0.4,1.3,0.65,0,0,2
Federal Way School District,Twi,2,optimistic,1,1,2,0,0,Public Health Seattle and King County,,1.7,0.4,1.3,0.65,0,0,2
Federal Way School District,Wolof,2,optimistic,1,1,2,0,0,Public Health Seattle and King County,,1.7,0.4,1.3,0.65,0,0,2
Renton School District,Estonian,2,optimistic,1,1,2,0,0,Public Health Seattle and King County,,1.7,0.4,1.3,0.65,0,0,2
Renton School District,Indonesian,2,optimistic,1,1,2,0,0,City of Renton,,1.7,0.4,1.3,0.65,0,0,2
Renton School District,Kazakh,2,optimistic,1,1,2,0,0,Public Health Seattle and King County,,1.7,0.4,1.3,0.65,0,0,2
