agency_id,agency_name,sector,location_id,location_name,location_type,lat,lon,district_name,languages_served,sectors_covered
sound_transit,Sound Transit,transit,sound_transit-C35,Tukwila Int'l Blvd,station,47.464031,-122.287996,Tukwila School District,Chinese-Cantonese; Chinese-Mandarin; Korean; Russian; Spanish; Tagalog; Vietnamese,"library, transit"
sound_transit,Sound Transit,transit,sound_transit-C35-E-00001,Tukwila International Blvd Station Entrance,transit_center_or_park_ride,47.464192,-122.288005,Tukwila School District,Chinese-Cantonese; Chinese-Mandarin; Korean; Russian; Spanish; Tagalog; Vietnamese,"library, transit"
sound_transit,Sound Transit,transit,sound_transit-C37,SeaTac/Airport,station,47.445381,-122.296898,Highline School District,Chinese-Cantonese; Chinese-Mandarin; Korean; Russian; Spanish; Tagalog; Vietnamese,"library, transit"
sound_transit,Sound Transit,transit,sound_transit-LS_C35_T1,Tukwila Intl Blvd Station Bay 2,transit_center_or_park_ride,47.464027,-122.287933,Tukwila School District,Chinese-Cantonese; Chinese-Mandarin; Korean; Russian; Spanish; Tagalog; Vietnamese,"library, transit"
sound_transit,Sound Transit,transit,sound_transit-LS_C35_T2,Tukwila Intl Blvd Station Bay 3,transit_center_or_park_ride,47.463921,-122.287628,Tukwila School District,Chinese-Cantonese; Chinese-Mandarin; Korean; Russian; Spanish; Tagalog; Vietnamese,"library, transit"
sound_transit,Sound Transit,transit,sound_transit-LS_S03_T1,Kent Des Moines Station - Bay 2,transit_center_or_park_ride,47.389469,-122.294583,Highline School District,Chinese-Cantonese; Chinese-Mandarin; Korean; Russian; Spanish; Tagalog; Vietnamese,"library, transit"
sound_transit,Sound Transit,transit,sound_transit-LS_S03_T2,Kent Des Moines Station - Bay 3,transit_center_or_park_ride,47.389587,-122.294833,Highline School District,Chinese-Cantonese; Chinese-Mandarin; Korean; Russian; Spanish; Tagalog; Vietnamese,"library, transit"
sound_transit,Sound Transit,transit,sound_transit-LS_S05_T1,Star Lake Station - Bay 1,transit_center_or_park_ride,47.359421,-122.297804,Federal Way School District,Chinese-Cantonese; Chinese-Mandarin; Korean; Russian; Spanish; Tagalog; Vietnamese,"library, transit"
sound_transit,Sound Transit,transit,sound_transit-LS_S05_T2,Star Lake Station - Bay 4,transit_center_or_park_ride,47.35915,-122.297231,Federal Way School District,Chinese-Cantonese; Chinese-Mandarin; Korean; Russian; Spanish; Tagalog; Vietnamese,"library, transit"
sound_transit,Sound Transit,transit,sound_transit-S01,Angle Lake,station,47.422703,-122.297714,Highline School District,Chinese-Cantonese; Chinese-Mandarin; Korean; Russian; Spanish; Tagalog; Vietnamese,"library, transit"
sound_transit,Sound Transit,transit,sound_transit-S01-E-00001,Angle Lake Station North Entrance,transit_center_or_park_ride,47.42309,-122.297838,Highline School District,Chinese-Cantonese; Chinese-Mandarin; Korean; Russian; Spanish; Tagalog; Vietnamese,"library, transit"
