agency_id,agency_name,sector,location_id,location_name,location_type,lat,lon,gtfs_location_type,capture_date,source_url
kcmetro,King County Metro,transit,kcmetro-74232,Totem Lake Transit Center - Bay 2,transit_center_or_park_ride,47.7145042,-122.180359,0,2026-09-07,https://metro.kingcounty.gov/GTFS/google_transit.zip
kcmetro,King County Metro,transit,kcmetro-74234,Totem Lake Transit Center - Bay 1,transit_center_or_park_ride,47.7146454,-122.180496,0,2026-09-07,https://metro.kingcounty.gov/GTFS/google_transit.zip
kcmetro,King County Metro,transit,kcmetro-74450,South Kirkland Park & Ride,transit_center_or_park_ride,47.6438522,-122.196693,0,2026-09-07,https://metro.kingcounty.gov/GTFS/google_transit.zip
kcmetro,King County Metro,transit,kcmetro-74721,Kingsgate Park & Ride,transit_center_or_park_ride,47.7164536,-122.187599,0,2026-09-07,https://metro.kingcounty.gov/GTFS/google_transit.zip
kcmetro,King County Metro,transit,kcmetro-75992,Woodinville Park And Ride,transit_center_or_park_ride,47.757122,-122.151436,0,2026-09-07,https://metro.kingcounty.gov/GTFS/google_transit.zip
kcmetro,King County Metro,transit,kcmetro-75995,Woodinville Park And Ride,transit_center_or_park_ride,47.7567825,-122.151398,0,2026-09-07,https://metro.kingcounty.gov/GTFS/google_transit.zip
kcmetro,King County Metro,transit,kcmetro-76372,NE Bothell Way & Kenmore Park & Ride,transit_center_or_park_ride,47.7571831,-122.241859,0,2026-09-07,https://metro.kingcounty.gov/GTFS/google_transit.zip
kcmetro,King County Metro,transit,kcmetro-76374,Kenmore Park & Ride & NE Bothell Way,transit_center_or_park_ride,47.7584076,-122.241295,0,2026-09-07,https://metro.kingcounty.gov/GTFS/google_transit.zip
kcmetro,King County Metro,transit,kcmetro-76376,Kenmore Park & Ride & 73rd Ave NE,transit_center_or_park_ride,47.759201,-122.243057,0,2026-09-07,https://metro.kingcounty.gov/GTFS/google_transit.zip
kcmetro,King County Metro,transit,kcmetro-81243,Shoreline North/185th Station - Bay 3,transit_center_or_park_ride,47.7642708,-122.322342,0,2026-09-07,https://metro.kingcounty.gov/GTFS/google_transit.zip
kcmetro,King County Metro,transit,kcmetro-81245,Shoreline North/185th Station - Bay 4,transit_center_or_park_ride,47.7637901,-122.322464,0,2026-09-07,https://metro.kingcounty.gov/GTFS/google_transit.zip
kcmetro,King County Metro,transit,kcmetro-81299,Shoreline South/148th Station - Bay 1,transit_center_or_park_ride,47.7367439,-122.325256,0,2026-09-07,https://metro.kingcounty.gov/GTFS/google_transit.zip
kcmetro,King County Metro,transit,kcmetro-81301,Shoreline South/148th Station - Bay 2,transit_center_or_park_ride,47.7361488,-122.325119,0,2026-09-07,https://metro.kingcounty.gov/GTFS/google_transit.zip
kcmetro,King County Metro,transit,kcmetro-81303,Shoreline South/148th Station - Bay 3,transit_center_or_park_ride,47.7357445,-122.324867,0,2026-09-07,https://metro.kingcounty.gov/GTFS/google_transit.zip
kcmetro,King County Metro,transit,kcmetro-81755,Bear Creek Park And Ride,transit_center_or_park_ride,47.6736107,-122.10096,0,2026-09-07,https://metro.kingcounty.gov/GTFS/google_transit.zip
kcmetro,King County Metro,transit,kcmetro-81982,Van Ry Blvd & Mountlake Terrace Station,transit_center_or_park_ride,47.7812538,-122.315254,0,2026-09-07,https://metro.kingcounty.gov/GTFS/google_transit.zip
kcmetro,King County Metro,transit,kcmetro-82687,I-405 & Totem Lake Freeway Station - Bay 1,transit_center_or_park_ride,47.7153549,-122.185791,0,2026-09-07,https://metro.kingcounty.gov/GTFS/google_transit.zip
kcmetro,King County Metro,transit,kcmetro-82878,I-405 & Totem Lake Freeway Station - Bay 2,transit_center_or_park_ride,47.7154274,-122.185509,0,2026-09-07,https://metro.kingcounty.gov/GTFS/google_transit.zip
kcmetro,King County Metro,transit,kcmetro-8401,Rainier Ave S & Mount Baker Transit Center - Bay 1,transit_center_or_park_ride,47.577507,-122.297401,0,2026-09-07,https://metro.kingcounty.gov/GTFS/google_transit.zip
kcmetro,King County Metro,transit,kcmetro-8402,Mount Baker Transit Center - Bay 2,transit_center_or_park_ride,47.5775909,-122.297127,0,2026-09-07,https://metro.kingcounty.gov/GTFS/google_transit.zip
kcmetro,King County Metro,transit,kcmetro-8403,Mount Baker Transit Center - Bay 3,transit_center_or_park_ride,47.5776863,-122.297073,0,2026-09-07,https://metro.kingcounty.gov/GTFS/google_transit.zip
kcmetro,King County Metro,transit,kcmetro-84263,South Bellevue Station Bus Plaza - Bay 1,transit_center_or_park_ride,47.5867043,-122.190422,0,2026-09-07,https://metro.kingcounty.gov/GTFS/google_transit.zip
kcmetro,King County Metro,transit,kcmetro-84264,South Bellevue Station Bus Plaza - Bay 2,transit_center_or_park_ride,47.5869598,-122.19059,0,2026-09-07,https://metro.kingcounty.gov/GTFS/google_transit.zip
kcmetro,King County Metro,transit,kcmetro-84292,South Bellevue Station Bus Plaza - Bay 3,transit_center_or_park_ride,47.5869789,-122.19133,0,2026-09-07,https://metro.kingcounty.gov/GTFS/google_transit.zip
kcmetro,King County Metro,transit,kcmetro-85254,Mountlake Terrace Station - Bay 1,transit_center_or_park_ride,47.7855072,-122.31501,0,2026-09-07,https://metro.kingcounty.gov/GTFS/google_transit.zip
kcmetro,King County Metro,transit,kcmetro-85531,Federal Way Downtown Station - Bay 1,transit_center_or_park_ride,47.3170509,-122.303543,0,2026-09-07,https://metro.kingcounty.gov/GTFS/google_transit.zip
kcmetro,King County Metro,transit,kcmetro-85532,Federal Way Downtown Station - Bay 2,transit_center_or_park_ride,47.3168335,-122.30368,0,2026-09-07,https://metro.kingcounty.gov/GTFS/google_transit.zip
kcmetro,King County Metro,transit,kcmetro-85538,Federal Way Downtown Station - Bay 8,transit_center_or_park_ride,47.3166771,-122.303558,0,2026-09-07,https://metro.kingcounty.gov/GTFS/google_transit.zip
kcmetro,King County Metro,transit,kcmetro-85539,Federal Way Downtown Station - Bay 9,transit_center_or_park_ride,47.3169327,-122.303398,0,2026-09-07,https://metro.kingcounty.gov/GTFS/google_transit.zip
kcmetro,King County Metro,transit,kcmetro-85540,Federal Way Downtown Station - Bay 10,transit_center_or_park_ride,47.3171043,-122.303299,0,2026-09-07,https://metro.kingcounty.gov/GTFS/google_transit.zip
kcmetro,King County Metro,transit,kcmetro-85541,Federal Way Downtown Station - Bay 11,transit_center_or_park_ride,47.316452,-122.30323,0,2026-09-07,https://metro.kingcounty.gov/GTFS/google_transit.zip
