NAME,C16001_001E,C16001_002E,C16001_003E,C16001_004E,C16001_005E,C16001_006E,C16001_007E,C16001_008E,C16001_009E,C16001_010E,C16001_011E,C16001_012E,C16001_013E,C16001_014E,C16001_015E,C16001_016E,C16001_017E,C16001_018E,C16001_019E,C16001_020E,C16001_021E,C16001_022E,C16001_023E,C16001_024E,C16001_025E,C16001_026E,C16001_027E,C16001_028E,C16001_029E,C16001_030E,C16001_031E,C16001_032E,C16001_033E,C16001_034E,C16001_035E,C16001_036E,C16001_037E,C16001_038E,state,school district (unified)
"Grandview School District, Washington",14343,4596,9569,6201,3368,0,0,0,11,11,0,0,0,0,0,0,0,0,0,0,50,24,26,0,0,0,27,27,0,49,48,1,0,0,0,41,41,0,53,03150
"Granger School District, Washington",5620,1638,3971,2303,1668,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,03180
"Granite Falls School District, Washington",16153,14886,346,288,58,30,30,0,11,11,0,77,30,47,111,73,38,0,0,0,27,17,10,214,154,60,305,32,273,146,54,92,0,0,0,0,0,0,53,03210
"Grapeview School District, Washington",2456,2434,0,0,0,0,0,0,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,0,0,0,0,0,0,0,0,0,0,53,03240
"Great Northern School District, Washington",1254,1061,29,29,0,6,2,4,0,0,0,35,23,12,0,0,0,0,0,0,13,0,13,0,0,0,0,0,0,110,53,57,0,0,0,0,0,0,53,03270
"Green Mountain School District, Washington",977,934,37,20,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,3,3,0,53,03300
"Griffin School District, Washington",5978,5572,198,174,24,0,0,0,30,30,0,11,11,0,92,92,0,0,0,0,10,10,0,0,0,0,0,0,0,41,38,3,0,0,0,24,24,0,53,03330
"Harrington School District, Washington",761,758,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,03360
"Coulee-Hartline School District, Washington",1633,1623,10,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,03440
"Highland School District, Washington",4948,2485,2436,1440,996,0,0,0,0,0,0,0,0,0,12,12,0,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,03510
"Highline School District, Washington",128410,80170,20257,9532,10725,899,665,234,198,189,9,847,514,333,3124,1891,1233,612,525,87,690,319,371,6023,2591,3432,2058,1592,466,4543,2446,2097,765,485,280,8224,4910,3314,53,03540
"Hockinson School District, Washington",10613,9594,223,147,76,60,60,0,50,50,0,247,210,37,269,208,61,25,0,25,5,3,2,0,0,0,48,21,27,81,5,76,9,9,0,2,2,0,53,03570
"Hood Canal School District, Washington",5752,5442,207,124,83,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0,44,35,9,2,2,0,16,16,0,1,0,1,0,0,0,32,32,0,53,03600
"Hoquiam School District, Washington",11388,10573,554,288,266,0,0,0,23,23,0,90,58,32,9,9,0,0,0,0,106,0,106,0,0,0,0,0,0,0,0,0,0,0,0,33,0,33,53,03660
"Index School District, Washington",502,477,25,10,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,03720
"Issaquah School District, Washington",113815,77126,3913,2869,1044,949,539,410,358,276,82,2755,1755,1000,7095,6430,665,2152,1331,821,10267,5698,4569,1610,987,623,945,727,218,5535,4751,784,620,523,97,490,432,58,53,03750
"Kahlotus School District, Washington",247,215,32,23,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,03780
"Kalama School District, Washington",7611,7238,298,179,119,0,0,0,8,8,0,42,25,17,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,03810
"Keller School District, Washington",462,441,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,8,11,53,03870
"Kennewick School District, Washington",93945,68966,20615,12741,7874,62,39,23,337,324,13,924,573,351,323,301,22,174,71,103,216,59,157,299,218,81,162,136,26,531,215,316,815,393,422,521,480,41,53,03930
"Kent School District, Washington",166364,104772,14706,8291,6415,1044,787,257,381,310,71,6204,2667,3537,8825,4311,4514,1037,518,519,4220,1638,2582,5348,2038,3310,4496,3094,1402,8145,4622,3523,1278,745,533,5908,4318,1590,53,03960
"Kettle Falls School District, Washington",5327,5163,69,23,46,0,0,0,0,0,0,38,38,0,13,0,13,0,0,0,0,0,0,0,0,0,21,1,20,23,0,23,0,0,0,0,0,0,53,03990
"Kiona-Benton City School District, Washington",8535,7283,1176,550,626,0,0,0,0,0,0,18,18,0,0,0,0,6,6,0,0,0,0,33,0,33,19,4,15,0,0,0,0,0,0,0,0,0,53,04020
